Roll,P,FL,FR,BL,BR
-0.013003,-0.061479,1560,1433,1560,1433
-0.014504,-0.066278,1559,1434,1559,1434
-0.016127,-0.074727,1561,1431,1561,1431
-0.017802,-0.047341,1546,1449,1546,1449
-0.019042,-0.091883,1572,1418,1572,1418
-0.021799,-0.166261,1594,1393,1594,1393
-0.025901,-0.138444,1572,1419,1572,1419
-0.029130,-0.113539,1565,1427,1565,1427
-0.032550,-0.223672,1609,1374,1609,1374
-0.038519,-0.269765,1611,1372,1611,1372
-0.044995,-0.222091,1587,1401,1587,1401
-0.050248,-0.154929,1569,1423,1569,1423
-0.053739,-0.047156,1533,1466,1533,1466
-0.054123,0.112215,1414,1576,1414,1576
-0.050964,0.140044,1443,1552,1443,1552
-0.047682,0.089743,1553,1442,1553,1442
-0.045448,0.038780,1570,1421,1570,1421
-0.044593,0.031839,1562,1430,1562,1430
-0.043982,-0.001747,1573,1418,1573,1418
-0.044122,-0.024424,1575,1415,1575,1415
-0.044698,-0.007496,1562,1431,1562,1431
-0.044628,0.033385,1543,1453,1543,1453
-0.044017,-0.011580,1573,1417,1573,1417
-0.044262,-0.006596,1566,1427,1566,1427
-0.044087,0.095024,1447,1548,1447,1548
-0.041050,0.195848,1416,1574,1416,1574
-0.036303,0.167616,1463,1535,1463,1535
-0.032166,0.201222,1440,1555,1440,1555
-0.026424,0.320660,1390,1597,1390,1597
-0.018448,0.261907,1441,1554,1441,1554
-0.012881,0.066184,1590,1397,1590,1397
-0.011222,0.047382,1562,1430,1562,1430
-0.010332,0.019500,1560,1432,1560,1432
-0.009913,0.009290,1555,1440,1555,1440
-0.009721,0.009745,1549,1446,1549,1446
-0.009460,0.011344,1546,1449,1546,1449
-0.009111,0.018021,1541,1455,1541,1455
-0.008657,0.025874,1537,1458,1537,1458
-0.008168,0.004735,1553,1442,1553,1442
-0.008046,0.002360,1550,1445,1550,1445
-0.007976,0.002186,1548,1447,1548,1447
-0.007906,0.004289,1546,1449,1546,1449
-0.007837,0.001550,1548,1447,1548,1447
-0.007784,0.000280,1549,1446,1549,1446
-0.007767,0.000264,1548,1447,1548,1447
-0.007749,-0.000022,1548,1447,1548,1447
-0.007749,-0.000183,1548,1447,1548,1447
-0.007732,0.000077,1548,1447,1548,1447
-0.007714,-0.000023,1548,1447,1548,1447
-0.007714,-0.000146,1548,1447,1548,1447
-0.007714,-0.000324,1549,1446,1549,1446
-0.007714,-0.000421,1549,1446,1549,1446
-0.007714,-0.000858,1549,1446,1549,1446
-0.007697,-0.001207,1549,1446,1549,1446
-0.007732,-0.000192,1548,1447,1548,1447
-0.007732,-0.000220,1549,1446,1549,1446
-0.007767,-0.001596,1550,1445,1550,1445
-0.007802,0.000025,1549,1446,1549,1446
-0.007819,0.000255,1549,1446,1549,1446
-0.007802,-0.001527,1550,1445,1550,1445
-0.007837,-0.000400,1549,1446,1549,1446
-0.007837,-0.001543,1550,1445,1550,1445
-0.007854,-0.001067,1550,1445,1550,1445
-0.007889,-0.003258,1551,1444,1551,1444
-0.007959,-0.004354,1551,1444,1551,1444
-0.008029,-0.005296,1551,1444,1551,1444
-0.008273,-0.022324,1559,1434,1559,1434
-0.008762,-0.012106,1551,1444,1551,1444
-0.009058,-0.009134,1551,1444,1551,1444
-0.009233,-0.008057,1552,1443,1552,1443
-0.009372,-0.006103,1551,1444,1551,1444
-0.009529,-0.006404,1552,1443,1552,1443
-0.009652,-0.004653,1552,1443,1552,1443
-0.009756,-0.006001,1553,1442,1553,1442
-0.009844,-0.006989,1553,1442,1553,1442
-0.010001,-0.008515,1554,1441,1554,1441
-0.010158,-0.005466,1552,1443,1552,1443
-0.010297,-0.005044,1553,1442,1553,1442
-0.010437,-0.006328,1554,1441,1554,1441
-0.010542,-0.007216,1554,1441,1554,1441
-0.010681,-0.004934,1553,1442,1553,1442
-0.010769,-0.005750,1554,1441,1554,1441
-0.010891,-0.004729,1554,1441,1554,1441
-0.010961,-0.002973,1553,1442,1553,1442
-0.011013,-0.004983,1555,1440,1555,1440
-0.011153,-0.007294,1556,1439,1556,1439
-0.011362,-0.010312,1557,1438,1557,1438
-0.011606,-0.006809,1554,1441,1554,1441
-0.011711,-0.005600,1555,1440,1555,1440
-0.011851,-0.011880,1558,1436,1558,1436
-0.012165,-0.013936,1558,1436,1558,1436
-0.012497,-0.009172,1555,1440,1555,1440
-0.012758,-0.019241,1561,1432,1561,1432
-0.013317,-0.029412,1564,1428,1564,1428
-0.013928,-0.005013,1550,1445,1550,1445
-0.014015,-0.015772,1560,1433,1560,1433
-0.014469,-0.021429,1561,1431,1561,1431
-0.014975,-0.019768,1559,1433,1559,1433
-0.015516,-0.026186,1563,1429,1563,1429
-0.016109,-0.015749,1557,1436,1557,1436
-0.016458,-0.014212,1559,1434,1559,1434
-0.016842,-0.020828,1563,1430,1563,1430
-0.017314,-0.016051,1559,1433,1559,1433
-0.017820,-0.032808,1568,1424,1568,1424
-0.018675,-0.047064,1571,1419,1571,1419
-0.019844,-0.048979,1570,1422,1570,1422
-0.021066,-0.041577,1566,1426,1566,1426
-0.022009,-0.040089,1567,1425,1567,1425
-0.023056,-0.063588,1577,1413,1577,1413
-0.024574,-0.045302,1567,1425,1567,1425
-0.025639,-0.036486,1566,1426,1566,1426
-0.026634,-0.057519,1577,1413,1577,1413
-0.028030,-0.043659,1569,1423,1569,1423
-0.028990,-0.027540,1565,1427,1565,1427
-0.029740,-0.042214,1575,1416,1575,1416
-0.030840,-0.050188,1576,1414,1576,1414
-0.032114,-0.051780,1576,1414,1576,1414
-0.033283,-0.039522,1571,1420,1571,1420
-0.034121,-0.015125,1564,1429,1564,1429
-0.034592,-0.036980,1578,1413,1578,1413
-0.035587,-0.051703,1581,1409,1581,1409
-0.036669,-0.014879,1564,1428,1564,1428
-0.037053,-0.033166,1578,1413,1578,1413
-0.037961,-0.055168,1584,1405,1584,1405
-0.039218,-0.049367,1579,1411,1579,1411
-0.040457,-0.057084,1582,1407,1582,1407
-0.041993,-0.085411,1592,1395,1592,1395
-0.044262,-0.124582,1602,1383,1602,1383
-0.047106,-0.074100,1578,1413,1578,1413
-0.049009,-0.079024,1586,1401,1586,1401
-0.050859,-0.061031,1581,1408,1581,1408
-0.052342,-0.031027,1574,1416,1574,1416
-0.052971,-0.004468,1571,1420,1571,1420
-0.053023,-0.022429,1584,1405,1584,1405
-0.053791,-0.060085,1596,1390,1596,1390
-0.055275,-0.042458,1584,1404,1584,1404
-0.056252,-0.042766,1587,1401,1587,1401
-0.057456,-0.077032,1600,1386,1600,1386
-0.059167,-0.040417,1582,1408,1582,1408
-0.060266,-0.080761,1602,1383,1602,1383
-0.062448,-0.108197,1607,1378,1607,1378
-0.064909,-0.058115,1585,1404,1585,1404
-0.066200,-0.065520,1595,1392,1595,1392
-0.067946,-0.095179,1606,1378,1606,1378
-0.070162,-0.078288,1597,1389,1597,1389
-0.071908,-0.030292,1582,1407,1582,1407
-0.072553,-0.022541,1589,1399,1589,1399
-0.073147,-0.032597,1596,1391,1596,1391
-0.073880,-0.058155,1605,1380,1605,1380
-0.076027,-0.151555,1630,1347,1630,1347
-0.079919,-0.160387,1622,1358,1622,1358
-0.083828,-0.144230,1613,1370,1613,1370
-0.087092,-0.085957,1596,1390,1596,1390
-0.089291,-0.100127,1610,1373,1610,1373
-0.091700,-0.067827,1602,1383,1602,1383
-0.093235,-0.041890,1599,1387,1599,1387
-0.094126,-0.025202,1599,1386,1599,1386
-0.094876,-0.039614,1608,1376,1608,1376
-0.095749,-0.027283,1605,1380,1605,1380
-0.096342,-0.011630,1602,1384,1602,1384
-0.096587,-0.012017,1605,1380,1605,1380
-0.097197,-0.071572,1625,1355,1625,1355
-0.099030,-0.089641,1624,1356,1624,1356
-0.101281,-0.091843,1621,1359,1621,1359
-0.103515,-0.067542,1612,1371,1612,1371
